graph_id,c_ids,total_nodes,pct_matched
DB08842_MESH_D000544_1,"['PUBCHEM.COMPOUND:7045767', 'GO:0007271', 'GO:0035249', 'GO:0005947', 'GO:0004129', 'CHEBI:26519', 'UMLS:C0132173', 'GO:0018393', 'GO:0006979', 'HP:0025464', 'GO:0007613', 'CHEBI:64645', 'EFO:0005816', 'PR:000010173', 'GO:0014055', 'GO:0061535', 'GO:0150076', 'MONDO:0001152', 'CHEBI:60425', 'HP:0002185', 'MONDO:0004975']",20,100.0
DB00193_MESH_D010003_1,"['PUBCHEM.COMPOUND:33741', 'NCBIGene:4988', 'NCBIGene:111', 'NCBIGene:3767', 'GO:0070509', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'NCBIGene:6530', 'GO:0051620', 'PUBCHEM.COMPOUND:439260', 'GO:0061533', 'NCBIGene:6532', 'GO:0051610', 'PUBCHEM.COMPOUND:5202', 'GO:0060096', 'GO:0019233', 'HP:0012531', 'MONDO:0005178']",20,100.0
DB00193_MESH_D059350_1,"['PUBCHEM.COMPOUND:33741', 'NCBIGene:4988', 'NCBIGene:111', 'NCBIGene:3767', 'GO:0070509', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'NCBIGene:6530', 'GO:0051620', 'PUBCHEM.COMPOUND:439260', 'GO:0061533', 'NCBIGene:6532', 'GO:0051610', 'PUBCHEM.COMPOUND:5202', 'GO:0060096', 'GO:0019233', 'HP:0012532']",19,100.0
DB00193_MESH_D010146_2,"['PUBCHEM.COMPOUND:33741', 'NCBIGene:4988', 'NCBIGene:111', 'NCBIGene:3767', 'GO:0070509', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'NCBIGene:6530', 'GO:0051620', 'PUBCHEM.COMPOUND:439260', 'GO:0061533', 'NCBIGene:6532', 'GO:0051610', 'PUBCHEM.COMPOUND:5202', 'GO:0060096', 'GO:0019233', 'HP:0012531']",19,100.0
DB08922_MESH_D012559_1,"['PUBCHEM.COMPOUND:115368', 'NCBIGene:3356', 'NCBIGene:1813', 'NCBIGene:3350', 'GO:0014046', 'GO:0014047', 'GO:0004952', 'PUBCHEM.COMPOUND:681', 'UBERON:0009834', 'UBERON:0001910', 'HP:0100543', 'HP:0030213', 'HP:0012154', 'HP:0002465', 'HP:0000741', 'MONDO:0005485', 'MONDO:0011918', 'MONDO:0005090']",18,100.0
DB01394_MESH_D006073_1,"['PUBCHEM.COMPOUND:6167', 'NCBIGene:203068', 'GO:1990266', 'GO:0016176', 'GO:0030593', 'GO:0007266', 'REACT:R-HSA-844456', 'GO:0046785', 'CL:0000775', 'CL:0000576', 'GO:0045087', 'GO:0070942', 'GO:0006919', 'NCBIGene:3553', 'GO:0006954', 'HP:0005059', 'MONDO:0005393']",17,100.0
DB01394_MESH_D010505_1,"['PUBCHEM.COMPOUND:6167', 'NCBIGene:203068', 'GO:1990266', 'GO:0016176', 'GO:0030593', 'GO:0007266', 'REACT:R-HSA-844456', 'GO:0046785', 'CL:0000775', 'CL:0000576', 'GO:0045087', 'GO:0070942', 'GO:0007266', 'GO:0006919', 'NCBIGene:3553', 'GO:0006954', 'MONDO:0018088']",17,100.0
DB00972_MESH_D065631_1,"['PUBCHEM.COMPOUND:2267', 'NCBIGene:3269', 'NCBIGene:3274', 'NCBIGene:5319', 'NCBIGene:4056', 'GO:0001821', 'GO:0019370', 'CHEBI:25029', 'GO:0043303', 'PUBCHEM.COMPOUND:36511', 'PUBCHEM.COMPOUND:439201', 'UBERON:0000176', 'HP:0025095', 'HP:0000989', 'GO:0006954', 'MONDO:0011786']",16,100.0
DB00972_MESH_D006255_1,"['PUBCHEM.COMPOUND:2267', 'NCBIGene:3269', 'NCBIGene:3274', 'NCBIGene:5319', 'NCBIGene:4056', 'GO:0001821', 'GO:0019370', 'CHEBI:25029', 'GO:0043303', 'PUBCHEM.COMPOUND:36511', 'PUBCHEM.COMPOUND:439201', 'UBERON:0000176', 'HP:0025095', 'HP:0000989', 'GO:0006954', 'MONDO:0005324']",16,100.0
DB01014_MESH_D003093_1,"['UNII:P80AL8J7ZP', 'PUBCHEM.COMPOUND:4075', 'NCBIGene:5742', 'NCBIGene:5743', 'NCBIGene:240', 'NCBIGene:5468', 'NCBIGene:1147', 'NCBIGene:3551', 'GO:0007249', 'REACT:R-HSA-2142691', 'REACT:R-HSA-2162123', 'REACT:R-HSA-1169091', 'GO:0006954', 'UBERON:0001052', 'UBERON:0001155', 'MONDO:0005101']",16,100.0
DB00579_MESH_D009765_1,"['PUBCHEM.COMPOUND:4020', 'NCBIGene:6530', 'GO:0051620', 'NCBIGene:6531', 'GO:0090494', 'NCBIGene:6531', 'NCBIGene:6532', 'GO:0051610', 'PUBCHEM.COMPOUND:439260', 'PUBCHEM.COMPOUND:5202', 'PUBCHEM.COMPOUND:681', 'GO:0061527', 'GO:0061533', 'GO:0060096', 'HP:0002591', 'MONDO:0011122']",16,100.0
DB06204_MESH_D010146_1,"['PUBCHEM.COMPOUND:9838022', 'NCBIGene:4988', 'NCBIGene:111', 'NCBIGene:3767', 'GO:0070509', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'NCBIGene:6530', 'GO:0051620', 'PUBCHEM.COMPOUND:439260', 'GO:0061533', 'GO:0019233', 'HP:0012531']",15,100.0
DB00331_MESH_D003924_1,"['PUBCHEM.COMPOUND:4091', 'NCBIGene:2110', 'GO:0042775', 'GO:0001951', 'MONDO:0002909', 'GO:0004679', 'PUBCHEM.COMPOUND:6083', 'GO:0042132', 'GO:0006094', 'MONDO:0002909', 'GO:0009331', 'GO:0004346', 'UMLS:C0166441', 'GO:0004611', 'MONDO:0005148']",15,100.0
DB00611_MESH_D048949_1,"['PUBCHEM.COMPOUND:5361092', 'NCBIGene:4986', 'NCBIGene:4988', 'NCBIGene:4985', 'REACT:R-HSA-372790', 'NCBIGene:111', 'PUBCHEM.COMPOUND:6076', 'NCBIGene:3767', 'GO:0070509', 'GO:0060081', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'NCIT:C92821']",15,100.0
DB00611_MESH_D010146_1,"['PUBCHEM.COMPOUND:5361092', 'NCBIGene:4986', 'NCBIGene:4988', 'NCBIGene:4985', 'REACT:R-HSA-372790', 'NCBIGene:111', 'PUBCHEM.COMPOUND:6076', 'NCBIGene:3767', 'GO:0070509', 'GO:0060081', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'HP:0012531']",15,100.0
DB06148_MESH_D003865_1,"['PUBCHEM.COMPOUND:4184', 'NCBIGene:3356', 'NCBIGene:3358', 'NCBIGene:6530', 'NCBIGene:150', 'NCBIGene:152', 'NCBIGene:3269', 'PUBCHEM.COMPOUND:439260', 'GO:0051620', 'GO:0023041', 'PUBCHEM.COMPOUND:5202', 'GO:0032099', 'MONDO:0011918', 'HP:0002360', 'MONDO:0002009']",15,100.0
DB05219_MESH_D003876_1,"['PUBCHEM.COMPOUND:44591583', 'NCBIGene:5141', 'NCBIGene:5142', 'NCBIGene:5143', 'NCBIGene:5144', 'GO:0006198', 'GO:0032680', 'GO:0032674', 'GO:0032663', 'GO:0032673', 'GO:0032649', 'GO:0006955', 'GO:0006954', 'MONDO:0011292']",14,100.0
DB06144_MESH_D012559_1,"['PUBCHEM.COMPOUND:60149', 'NCBIGene:1813', 'NCBIGene:3356', 'NCBIGene:3358', 'NCBIGene:148', 'NCBIGene:146', 'NCBIGene:147', 'GO:0014046', 'GO:0014047', 'GO:0004952', 'UBERON:0001910', 'MONDO:0005485', 'HP:0002071', 'MONDO:0005090']",14,100.0
DB01041_MESH_D009101_1,"['PUBCHEM.COMPOUND:5426', 'NCBIGene:7124', 'NCBIGene:7422', 'NCBIGene:51185', 'GO:0016567', 'GO:0051301', 'GO:0001525', 'GO:0008283', 'GO:0032635', 'GO:0006954', 'CHEBI:26523', 'UMLS:C3893307', 'GO:0002534', 'MONDO:0009693']",14,100.0
DB09102_MESH_D019698_1,"['PUBCHEM.COMPOUND:25154714', 'CHEMBL.TARGET:CHEMBL3307224', 'GO:0003968', 'GO:0039694', 'MESH:C000618292', 'MESH:C037178', 'PUBCHEM.COMPOUND:5997', 'MESH:D000086969', 'GO:0004197', 'GO:0004252', 'UMLS:C0042774', 'UMLS:C0282629', 'NCBITaxon:11103', 'MONDO:0005354']",14,100.0
DB00797_MESH_D002561_1,"['PUBCHEM.COMPOUND:5504', 'NCBIGene:3269', 'NCBIGene:3274', 'NCBIGene:148', 'NCBIGene:150', 'NCBIGene:151', 'NCBIGene:152', 'REACT:R-HSA-416476', 'REACT:R-HSA-416482', 'REACT:R-HSA-418594', 'REACT:R-HSA-418597', 'GO:0042310', 'GO:0042311', 'MONDO:0011057']",14,100.0
DB00240_MESH_D008179_1,"['PUBCHEM.COMPOUND:636374', 'MESH:D016207', 'EFO:0003786', 'PUBCHEM.COMPOUND:774', 'NCBIGene:2908', 'CHV:0000014299', 'PathWhiz.ProteinComplex:13360', 'PR:000012798', 'GO:0006954', 'HP:0000969', 'HP:0010783', 'HP:0040189', 'MONDO:0021036', 'MONDO:0006610', 'CHEBI:25029', 'MONDO:0019558']",14,100.0
DB01224_MESH_D012559_1,"['PUBCHEM.COMPOUND:25058200', 'NCBIGene:3356', 'NCBIGene:1813', 'GO:0014046', 'PUBCHEM.COMPOUND:681', 'UBERON:0009834', 'UBERON:0001910', 'HP:0100543', 'HP:0030213', 'HP:0012154', 'HP:0002465', 'HP:0000741', 'MONDO:0005485', 'MONDO:0005090']",14,100.0
DB01209_MESH_D010146_1,"['PUBCHEM.COMPOUND:3033053', 'NCBIGene:4988', 'NCBIGene:4986', 'REACT:R-HSA-372790', 'NCBIGene:111', 'PUBCHEM.COMPOUND:6076', 'NCBIGene:3767', 'GO:0070509', 'GO:0060081', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'HP:0012531']",14,100.0
DB09296_MESH_D019698_1,"['PUBCHEM.COMPOUND:54767916', 'CHEMBL.TARGET:CHEMBL3307224', 'GO:0003968', 'GO:0039694', 'MESH:C000618292', 'MESH:C037178', 'PUBCHEM.COMPOUND:5997', 'MESH:D000086969', 'GO:0004197', 'GO:0004252', 'UMLS:C0042774', 'UMLS:C0282629', 'NCBITaxon:11103', 'MONDO:0005354']",14,100.0
DB11613_MESH_D019698_1,"['PUBCHEM.COMPOUND:67683363', 'CHEMBL.TARGET:CHEMBL3307224', 'GO:0003968', 'GO:0039694', 'MESH:C000618292', 'MESH:C037178', 'PUBCHEM.COMPOUND:5997', 'MESH:D000086969', 'GO:0004197', 'GO:0004252', 'UMLS:C0042774', 'UMLS:C0282629', 'NCBITaxon:11103', 'MONDO:0005354']",14,100.0
DB00813_MESH_D010146_1,"['PUBCHEM.COMPOUND:3345', 'NCBIGene:4988', 'NCBIGene:4985', 'REACT:R-HSA-372790', 'NCBIGene:111', 'PUBCHEM.COMPOUND:6076', 'NCBIGene:3767', 'GO:0070509', 'GO:0060081', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'HP:0012531']",14,100.0
DB00647_MESH_D010146_1,"['PUBCHEM.COMPOUND:10100', 'NCBIGene:4988', 'NCBIGene:4985', 'REACT:R-HSA-372790', 'NCBIGene:111', 'PUBCHEM.COMPOUND:6076', 'NCBIGene:3767', 'GO:0070509', 'GO:0060081', 'GO:1990793', 'GO:0061535', 'GO:0099610', 'CL:0000198', 'HP:0012531']",14,100.0
DB01356_MESH_D001714_1,"['PUBCHEM.COMPOUND:11125', 'UniProtKB:P29218', 'UMLS:C1327143', 'PUBCHEM.COMPOUND:892', 'GO:0043647', 'GO:0014047', 'PR:000008288', 'HP:0000713', 'GO:0061534', 'GO:0061527', 'GO:0004972', 'UNII:61LJO5I15S', 'MONDO:0004985']",13,100.0
DB01255_MESH_D001289_1,"['PUBCHEM.COMPOUND:11597698', 'PUBCHEM.COMPOUND:5826', 'NCBIGene:6530', 'GO:0051620', 'PUBCHEM.COMPOUND:439260', 'NCBIGene:6531', 'GO:0051583', 'PUBCHEM.COMPOUND:681', 'GO:0061527', 'NCBIGene:6571', 'GO:0015842', 'GO:0061533', 'MONDO:0005302']",13,100.0
DB00799_MESH_D000152_1,"['PUBCHEM.COMPOUND:5381', 'NCBIGene:5914', 'NCBIGene:5915', 'NCBIGene:6257', 'NCBIGene:5916', 'UMLS:C0524626', 'UMLS:C1676737', 'MESH:D020782', 'NCBIGene:1956', 'GO:0006954', 'HP:0025249', 'REACT:R-HSA-181438', 'MONDO:0011438']",13,100.0
DB00635_MESH_D012713_1,"['PUBCHEM.COMPOUND:5865', 'PUBCHEM.COMPOUND:5755', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0005492', 'HP:0002829', 'MONDO:0043789']",13,100.0
DB00635_MESH_D013716_1,"['PUBCHEM.COMPOUND:5865', 'PUBCHEM.COMPOUND:5755', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0012531', 'HP:0100261', 'MONDO:0001875']",13,100.0
DB05676_MESH_D015535_1,"['PUBCHEM.COMPOUND:11561674', 'NCBIGene:5141', 'NCBIGene:5142', 'NCBIGene:5143', 'NCBIGene:5144', 'GO:0006198', 'PUBCHEM.COMPOUND:6076', 'GO:0032680', 'NCBIGene:4843', 'GO:0032627', 'GO:0032613', 'GO:0006954', 'MONDO:0011849']",13,100.0
DB00694_MESH_D007948_1,"['PUBCHEM.COMPOUND:30323', 'GO:0001207', 'GO:0009299', 'NCBIGene:7153', 'NCBIGene:7155', 'GO:0032993', 'CHEBI:26519', 'UMLS:C0012860', 'GO:0006260', 'HP:0031377', 'GO:0006915', 'GO:0140014', 'MONDO:0007896']",13,100.0
DB00242_MESH_D020529_1,"['PUBCHEM.COMPOUND:20279', 'PUBCHEM.COMPOUND:452857', 'NCBIGene:6240', 'NCBIGene:50484', 'NCBIGene:6241', 'NCBIGene:5422', 'UniProtKB:P56282', 'NCBIGene:54107', 'UniProtKB:Q9NR33', 'GO:0006260', 'GO:0046651', 'PUBCHEM.COMPOUND:44135672', 'MONDO:0005314']",13,100.0
DB00277_MESH_D000080445_1,"['PUBCHEM.COMPOUND:2153', 'UMLS:C0001471', 'MESH:D015106', 'MESH:D015105', 'NCBIGene:3066', 'GO:0016575', 'GO:0006198', 'GO:0019933', 'GO:0006954', 'GO:0044557', 'UMLS:C0079043', 'PUBCHEM.COMPOUND:6076', 'UMLS:C4038730']",13,100.0
DB00277_MESH_D001249_1,"['PUBCHEM.COMPOUND:2153', 'UMLS:C0001471', 'MESH:D015106', 'MESH:D015105', 'NCBIGene:3066', 'GO:0016575', 'GO:0006198', 'GO:0019933', 'GO:0006954', 'GO:0044557', 'UMLS:C0079043', 'PUBCHEM.COMPOUND:6076', 'MONDO:0004979']",13,100.0
DB00741_MESH_D011538_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0000989', 'UBERON:0001245', 'UMLS:C0033775']",13,100.0
DB00277_MESH_D001986_1,"['PUBCHEM.COMPOUND:2153', 'UMLS:C0001471', 'MESH:D015106', 'MESH:D015105', 'NCBIGene:3066', 'GO:0016575', 'GO:0006198', 'GO:0019933', 'GO:0006954', 'GO:0044557', 'UMLS:C0079043', 'PUBCHEM.COMPOUND:6076', 'MONDO:0001358']",13,100.0
DB00741_MESH_D012713_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:5744', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'MONDO:0005492', 'HP:0002829', 'MONDO:0043789']",13,100.0
DB00741_MESH_D052256_1,"['PUBCHEM.COMPOUND:5754', 'PUBCHEM.COMPOUND:219121', 'NCBIGene:2908', 'NCBIGene:301', 'NCBIGene:5321', 'NCBIGene:5742', 'NCBIGene:5743', 'GO:0019370', 'GO:0001516', 'GO:0006954', 'HP:0012531', 'UBERON:0000043', 'MONDO:0100010']",13,100.0
DB00242_MESH_D007943_1,"['PUBCHEM.COMPOUND:20279', 'PUBCHEM.COMPOUND:452857', 'NCBIGene:6240', 'NCBIGene:50484', 'NCBIGene:6241', 'NCBIGene:5422', 'UniProtKB:P56282', 'NCBIGene:54107', 'UniProtKB:Q9NR33', 'GO:0006260', 'HP:0031378', 'PUBCHEM.COMPOUND:44135672', 'MONDO:0018935']",13,100.0
